sample_id,image_height,image_width,image_channels,image_dtype,image_min,image_max,image_mean,image_std,mask_height,mask_width,mask_dtype,mask_min,mask_max,mask_unique_values,mask_unique_list,mask_background_ratio,mask_foreground_ratio,image_file_size,mask_file_size
00001,256,256,3,uint8,1,108,6.1422271728515625,11.523303296703862,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9127960205078125,0.0872039794921875,31944,1782
00002,256,256,3,uint8,1,255,9.018600463867188,15.60615089933649,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9277191162109375,0.0722808837890625,63284,2016
00003,256,256,3,uint8,3,40,10.863525390625,8.431536675846948,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.7154998779296875,0.2845001220703125,45089,2101
00004,256,256,3,uint8,0,34,4.41064453125,7.373610268597956,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.8962249755859375,0.1037750244140625,20714,1190
00005,256,256,3,uint8,0,35,3.7840423583984375,6.440211702620727,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.925140380859375,0.074859619140625,18143,824
00006,256,256,3,uint8,0,36,2.62969970703125,7.034096160598239,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9204254150390625,0.0795745849609375,10441,1036
00007,256,256,3,uint8,2,176,11.134765625,16.054595189629694,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.865447998046875,0.134552001953125,51453,2460
00008,256,256,3,uint8,8,255,21.3526611328125,24.57973888134316,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.900390625,0.099609375,73485,2546
00009,256,256,3,uint8,2,122,15.5660400390625,17.658258397729234,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.6340484619140625,0.3659515380859375,62179,4252
00010,256,256,3,uint8,17,215,179.7843271891276,25.123849296553963,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9404754638671875,0.0595245361328125,70124,1554
00011,256,256,3,uint8,0,217,45.24266052246094,79.37246903225805,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9846343994140625,0.0153656005859375,19891,778
00012,256,256,3,uint8,1,127,9.955093383789062,15.814795932389554,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9242706298828125,0.0757293701171875,63588,1880
00013,256,256,3,uint8,2,140,7.7252349853515625,11.810625074921228,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9606170654296875,0.0393829345703125,53541,1317
00014,256,256,3,uint8,2,54,9.595977783203125,8.766955095358803,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.7437591552734375,0.2562408447265625,43524,1940
00015,256,256,3,uint8,0,31,2.6783447265625,4.738929306394784,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9505157470703125,0.0494842529296875,18370,1172
00016,256,256,3,uint8,0,36,3.0153045654296875,5.3482563486123516,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.93890380859375,0.06109619140625,16957,870
00017,256,256,3,uint8,0,36,1.60565185546875,4.798974732817132,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9610443115234375,0.0389556884765625,8790,877
00018,256,256,3,uint8,2,75,11.6971435546875,9.782799667321955,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.671844482421875,0.328155517578125,48255,2635
00019,256,256,3,uint8,0,32,4.52081298828125,7.577661482163795,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.861114501953125,0.138885498046875,21570,1694
00020,256,256,3,uint8,0,33,3.6972503662109375,6.495035646167215,256,256,uint8,0,255,2,"[np.uint8(0), np.uint8(255)]",0.9169464111328125,0.0830535888671875,17735,1055
